BioBN,Node,Bias,Degree,Input,EC,ECgini
0,abl,0.75,2,0,0.625,0.0
0,abl,0.75,2,1,0.625,0.0
0,akap79,0.5,1,0,1.0,0.0
0,ap1,0.25,2,0,0.625,0.0
0,ap1,0.25,2,1,0.625,0.0
0,bad,0.5,1,0,1.0,0.0
0,bcat,0.5,1,0,1.0,0.0
0,bcl10,0.5,1,0,1.0,0.0
0,bclxl,0.5,1,0,1.0,0.0
0,ca,0.5,1,0,1.0,0.0
0,cabin1,0.5,1,0,1.0,0.0
0,calcin,0.0625,4,0,0.2968750000000001,9.349243373940391e-17
0,calcin,0.0625,4,1,0.296875,9.349243373940391e-17
0,calcin,0.0625,4,2,0.296875,9.349243373940391e-17
0,calcin,0.0625,4,3,0.296875,9.349243373940391e-17
0,calpr1,0.5,1,0,1.0,0.0
0,cam,0.5,1,0,1.0,0.0
0,camk2,0.5,1,0,1.0,0.0
0,camk4,0.5,1,0,1.0,0.0
0,card11,0.5,1,0,1.0,0.0
0,card11a,0.125,3,0,0.41666666666666674,0.0
0,card11a,0.125,3,1,0.41666666666666674,0.0
0,card11a,0.125,3,2,0.41666666666666674,0.0
0,cblb,0.5,1,0,1.0,0.0
0,ccblp1,0.25,2,0,0.625,0.0
0,ccblp1,0.25,2,1,0.625,0.0
0,ccblp2,0.25,2,0,0.625,0.0
0,ccblp2,0.25,2,1,0.625,0.0
0,ccblr,0.5,1,0,1.0,0.0
0,cd45,0.5,1,0,1.0,0.0
0,cdc42,0.5,1,0,1.0,0.0
0,cre,0.5,1,0,1.0,0.0
0,creb,0.5,1,0,1.0,0.0
0,csk,0.5,1,0,1.0,0.0
0,cyc1,0.5,1,0,1.0,0.0
0,dag,0.25,2,0,0.625,0.0
0,dag,0.25,2,1,0.625,0.0
0,dgk,0.5,1,0,1.0,0.0
0,erk,0.5,1,0,1.0,0.0
0,fkhr,0.5,1,0,1.0,0.0
0,fos,0.5,1,0,1.0,0.0
0,fyn,0.4375,4,0,0.5,0.0
